Epoch,Loss
0,0.9974061
1,0.9950643
2,0.99258536
3,0.9901348
4,0.98760563
5,0.9850322
6,0.982398
7,0.9797438
8,0.9770545
9,0.97433186
10,0.97154
11,0.96868855
12,0.96578157
13,0.96287173
14,0.9599303
15,0.95695704
16,0.9539624
17,0.95087296
18,0.947657
19,0.94434386
20,0.9410194
21,0.9376725
22,0.9343106
23,0.9309078
24,0.92746556
25,0.9240111
26,0.92054576
27,0.91693604
28,0.9132737
29,0.9095903
30,0.90584165
31,0.9020974
32,0.89835775
33,0.8945385
34,0.890813
35,0.8870681
36,0.88339967
37,0.8797136
38,0.876116
39,0.87247723
40,0.8689279
41,0.8654143
42,0.8619793
43,0.8585769
44,0.85526955
45,0.85202754
46,0.84883696
47,0.84571815
48,0.8427235
49,0.83980125
50,0.8369115
51,0.83405703
52,0.8312356
53,0.82849455
54,0.8257791
55,0.82310367
56,0.8204691
57,0.8178479
58,0.81524426
59,0.81265765
60,0.8100832
61,0.8075066
62,0.8049315
63,0.8023578
64,0.7997842
65,0.79720235
66,0.79462636
67,0.79204226
68,0.7894568
69,0.7868617
70,0.78426856
71,0.78168833
72,0.77911896
73,0.77656484
74,0.77403
75,0.77150184
76,0.7689691
77,0.766426
78,0.76391196
79,0.7613987
80,0.758878
81,0.75636065
82,0.7538993
83,0.7514286
84,0.7489563
85,0.7464901
86,0.7440255
87,0.74156296
88,0.73909503
89,0.7366364
90,0.7341882
91,0.73173994
92,0.72928965
93,0.7268385
94,0.72438943
95,0.7219412
96,0.7194901
97,0.71704435
98,0.7146087
99,0.7121732
100,0.7097406
101,0.70731056
102,0.7048794
103,0.7024489
104,0.7000204
105,0.69759023
106,0.6951632
107,0.6927421
108,0.69031984
109,0.6878978
110,0.68548065
111,0.6830675
112,0.6806558
113,0.67824394
114,0.67583
115,0.6734259
116,0.671005
117,0.6685895
118,0.666181
119,0.6637838
120,0.6613905
121,0.65900195
122,0.6566173
123,0.65421385
124,0.65176785
125,0.64933187
126,0.6469071
127,0.6444877
128,0.6420717
129,0.63966125
130,0.63725805
131,0.6348673
132,0.63248634
133,0.6301173
134,0.62774885
135,0.62537694
136,0.62299615
137,0.62062424
138,0.61826044
139,0.6159025
140,0.61356664
141,0.6112479
142,0.60893875
143,0.60662925
144,0.6043376
145,0.6020515
146,0.5997649
147,0.5974797
148,0.59519917
149,0.5929584
150,0.59074324
151,0.58853626
152,0.58634704
153,0.584166
154,0.58199084
155,0.57983315
156,0.5776906
157,0.57555956
158,0.5734407
159,0.5713356
160,0.56924576
161,0.56716895
162,0.56510097
163,0.56304693
164,0.5610084
165,0.55898523
166,0.55697304
167,0.5549784
168,0.55300033
169,0.5510352
170,0.54907954
171,0.54713243
172,0.54520154
173,0.5432907
174,0.5413972
175,0.5395176
176,0.53765273
177,0.53580105
178,0.5339574
179,0.532122
180,0.53028935
181,0.52846426
182,0.526652
183,0.52486074
184,0.52307975
185,0.52131385
186,0.5195622
187,0.51782817
188,0.51610684
189,0.5144064
190,0.5127168
191,0.5110462
192,0.50939095
193,0.5077479
194,0.50611615
195,0.50449425
196,0.50288457
197,0.5012811
198,0.4996776
199,0.49808314
200,0.49649733
201,0.49492034
202,0.49335718
203,0.49181545
204,0.49030605
205,0.4887897
206,0.4873083
207,0.48582545
208,0.48439172
209,0.48294377
210,0.48152485
211,0.48009667
212,0.47868648
213,0.47730383
214,0.47591436
215,0.4745414
216,0.47319612
217,0.47184503
218,0.47050864
219,0.46919215
220,0.46788365
221,0.46659142
222,0.46531528
223,0.46405163
224,0.4628077
225,0.4615683
226,0.46033576
227,0.45912513
228,0.45793933
229,0.45676818
230,0.45560837
231,0.45445818
232,0.45331943
233,0.45219415
234,0.45107973
235,0.44998735
236,0.44890374
237,0.44783252
238,0.44677234
239,0.44572216
240,0.44468144
241,0.4436513
242,0.44262803
243,0.4416092
244,0.44060412
245,0.43960494
246,0.43862024
247,0.43764782
248,0.4366824
249,0.4357254
250,0.43477446
251,0.43383113
252,0.4328949
253,0.43196535
254,0.43104127
255,0.43011695
256,0.42918745
257,0.42826197
258,0.4273404
259,0.4264226
260,0.42551115
261,0.42461184
262,0.42371917
263,0.42283273
264,0.421948
265,0.42106926
266,0.42019343
267,0.41932246
268,0.41845366
269,0.41759014
270,0.41673872
271,0.4158928
272,0.41505393
273,0.4142162
274,0.41338092
275,0.41254675
276,0.41171467
277,0.41091108
278,0.41015276
279,0.40939915
280,0.40865022
281,0.4079054
282,0.40716425
283,0.4064264
284,0.40569216
285,0.40496466
286,0.4042391
287,0.40351477
288,0.40279484
289,0.40207666
290,0.40136167
291,0.400652
292,0.39994615
293,0.3992429
294,0.39854217
295,0.39784545
296,0.3971497
297,0.39645585
298,0.39576304
299,0.3950675
300,0.394373
301,0.3936792
302,0.3929864
303,0.3922967
304,0.39161226
305,0.3909303
306,0.3902489
307,0.3895747
308,0.38890216
309,0.38823035
310,0.38756013
311,0.38689423
312,0.38623485
313,0.38558397
314,0.38493907
315,0.38429576
316,0.38365424
317,0.3830134
318,0.38237274
319,0.38173813
320,0.38110378
321,0.38048217
322,0.37986487
323,0.37926206
324,0.3786603
325,0.3780591
326,0.37745905
327,0.3768603
328,0.3762638
329,0.37567103
330,0.37507796
331,0.37448686
332,0.3739023
333,0.37332904
334,0.37275562
335,0.37218267
336,0.37160924
337,0.37103632
338,0.3704644
339,0.36989307
340,0.3693208
341,0.36874944
342,0.36817926
343,0.36761746
344,0.36705932
345,0.36650604
346,0.36595455
347,0.3654026
348,0.3648521
349,0.36430347
350,0.36375666
351,0.36320984
352,0.3626653
353,0.3621217
354,0.36158153
355,0.361045
356,0.36051044
357,0.3599762
358,0.3594422
359,0.35890973
360,0.35838056
361,0.35785633
362,0.35733452
363,0.3568218
364,0.35630873
365,0.3557964
366,0.355284
367,0.35477263
368,0.35426337
369,0.35375494
370,0.3532458
371,0.3527379
372,0.3522317
373,0.35172385
374,0.35121307
375,0.35070315
376,0.3501977
377,0.34969473
378,0.34919366
379,0.34869477
380,0.34819624
381,0.34769493
382,0.34719032
383,0.3466847
384,0.34617954
385,0.34567493
386,0.34517157
387,0.3446697
388,0.3441687
389,0.34366825
390,0.3431839
391,0.3427184
392,0.34224907
393,0.34177944
394,0.34130597
395,0.34081516
396,0.34032252
397,0.3398293
398,0.3393376
399,0.33884716
400,0.33835626
401,0.33786285
402,0.3373688
403,0.33687633
404,0.3363855
405,0.335894
406,0.33540136
407,0.33490697
408,0.33441418
409,0.3339202
410,0.33342883
411,0.33293647
412,0.33244312
413,0.33195156
414,0.33146214
415,0.33097497
416,0.33048296
417,0.3299966
418,0.32951513
419,0.32903525
420,0.32856
421,0.32808718
422,0.32760748
423,0.32712534
424,0.3266413
425,0.32615072
426,0.3256571
427,0.32515875
428,0.32465765
429,0.32415545
430,0.32364196
431,0.32312676
432,0.322614
433,0.3221023
434,0.32159388
435,0.3210882
436,0.32058713
437,0.32008034
438,0.31956115
439,0.3190431
440,0.31852522
441,0.31800234
442,0.31747168
443,0.3169403
444,0.3164079
445,0.3158732
446,0.3153385
447,0.3148019
448,0.31428435
449,0.31383923
450,0.31340954
451,0.31298065
452,0.31255338
453,0.3121261
454,0.31169876
455,0.31127182
456,0.31084535
457,0.3104168
458,0.309989
459,0.3095541
460,0.3091048
461,0.3086562
462,0.30820733
463,0.30775455
464,0.30730128
465,0.30684808
466,0.30640018
467,0.30595723
468,0.3055166
469,0.30508095
470,0.30464056
471,0.30419123
472,0.30374444
473,0.30331078
474,0.30287808
475,0.30244812
476,0.30201387
477,0.3015705
478,0.30112696
479,0.3006837
480,0.30023608
481,0.2997801
482,0.29931876
483,0.29885876
484,0.29839987
485,0.2979429
486,0.29748535
487,0.2970267
488,0.29656717
489,0.29610962
490,0.2956522
491,0.29518977
492,0.29473042
493,0.29426366
494,0.293794
495,0.2933255
496,0.29285684
497,0.29240093
498,0.29195684
499,0.29151464
500,0.2910733
501,0.29063338
502,0.29017797
503,0.28970066
504,0.2892243
505,0.28875038
506,0.288278
507,0.28780246
508,0.28733367
509,0.28685224
510,0.28637818
511,0.2859064
512,0.28546882
513,0.28503424
514,0.28459945
515,0.28416443
516,0.2837165
517,0.28325495
518,0.28280208
519,0.2823621
520,0.28192535
521,0.28149197
522,0.28106007
523,0.28063127
524,0.2802038
525,0.27978498
526,0.27936858
527,0.27895224
528,0.2785373
529,0.2781247
530,0.277713
531,0.27728838
532,0.27686664
533,0.27644524
534,0.2760243
535,0.2755976
536,0.27517384
537,0.2747511
538,0.27432948
539,0.27391157
540,0.27348712
541,0.2730523
542,0.27260444
543,0.2721112
544,0.271622
545,0.27111602
546,0.27061436
547,0.27011803
548,0.269591
549,0.2690736
550,0.2685774
551,0.2680855
552,0.2675846
553,0.26705468
554,0.26652202
555,0.2659987
556,0.26548558
557,0.2649861
558,0.26449218
559,0.26399735
560,0.2634958
561,0.2630019
562,0.2625191
563,0.26203936
564,0.26155943
565,0.26108408
566,0.26061222
567,0.26014236
568,0.2596749
569,0.2592065
570,0.2587445
571,0.25828832
572,0.25783443
573,0.25738242
574,0.25693163
575,0.25647965
576,0.25603223
577,0.25558937
578,0.25515318
579,0.25473404
580,0.25432113
581,0.25391248
582,0.2535068
583,0.2531004
584,0.25269538
585,0.25229374
586,0.2518961
587,0.25150162
588,0.2511086
589,0.2507171
590,0.25032753
591,0.24993375
592,0.24953595
593,0.24913657
594,0.24873807
595,0.24834162
596,0.24794275
597,0.24754654
598,0.24715658
599,0.24677041
600,0.24638666
601,0.24600245
602,0.24562036
603,0.24524064
604,0.24486245
605,0.24448432
606,0.24410868
607,0.24373525
608,0.2433622
609,0.24299017
610,0.24261877
611,0.24224408
612,0.2418681
613,0.24149393
614,0.24112186
615,0.2407526
616,0.24038471
617,0.240015
618,0.23964457
619,0.2392768
620,0.23891394
621,0.23855314
622,0.23819414
623,0.23783728
624,0.23748101
625,0.23712717
626,0.23677468
627,0.2364227
628,0.23606972
629,0.2357178
630,0.23536776
631,0.23502167
632,0.23468032
633,0.23434086
634,0.23400258
635,0.23366399
636,0.23332708
637,0.23299125
638,0.23265812
639,0.2323269
640,0.23199664
641,0.23166831
642,0.23134172
643,0.23101759
644,0.23069443
645,0.23036969
646,0.23004134
647,0.22970955
648,0.22937845
649,0.22904651
650,0.22871485
651,0.22838333
652,0.22805409
653,0.22772522
654,0.22739737
655,0.22707073
656,0.2267443
657,0.22641751
658,0.22609073
659,0.22576377
660,0.22543734
661,0.22511265
662,0.22479023
663,0.22446862
664,0.2241487
665,0.22383009
666,0.22351079
667,0.22318946
668,0.22286944
669,0.22254914
670,0.22222982
671,0.22190922
672,0.2215889
673,0.2212696
674,0.22094938
675,0.22062743
676,0.22030613
677,0.21998608
678,0.21966484
679,0.21934472
680,0.21902673
681,0.21871075
682,0.21839637
683,0.21808435
684,0.2177736
685,0.21746624
686,0.2171602
687,0.21685427
688,0.2165477
689,0.21624182
690,0.21593685
691,0.21563181
692,0.21532746
693,0.2150227
694,0.21471877
695,0.21441464
696,0.21411115
697,0.21380924
698,0.21350549
699,0.21320492
700,0.21290335
701,0.21260487
702,0.21230869
703,0.21201426
704,0.2117206
705,0.2114274
706,0.21113504
707,0.21084394
708,0.2105526
709,0.21025977
710,0.20996618
711,0.2096731
712,0.20938012
713,0.20908932
714,0.20879889
715,0.208508
716,0.20821896
717,0.20793086
718,0.20764288
719,0.20735517
720,0.20706841
721,0.20678245
722,0.20649761
723,0.2062145
724,0.20593312
725,0.20565292
726,0.20537497
727,0.20510055
728,0.20482823
729,0.20455801
730,0.20428738
731,0.20401737
732,0.20374903
733,0.20348322
734,0.20321824
735,0.20295282
736,0.20268805
737,0.20242155
738,0.2021572
739,0.20189522
740,0.20163494
741,0.20137729
742,0.20111972
743,0.20086254
744,0.20060539
745,0.20034969
746,0.2000968
747,0.19984429
748,0.19959033
749,0.19933242
750,0.19907498
751,0.19881855
752,0.19856352
753,0.19830896
754,0.19805506
755,0.1978017
756,0.19754933
757,0.19729751
758,0.19704719
759,0.19679846
760,0.19655073
761,0.1963045
762,0.19605948
763,0.19581528
764,0.19557175
765,0.19532806
766,0.19508395
767,0.19483821
768,0.19459021
769,0.19434342
770,0.19409686
771,0.19385156
772,0.1936099
773,0.19337009
774,0.19313385
775,0.1928977
776,0.19266066
777,0.19242512
778,0.19219066
779,0.19195491
780,0.1917171
781,0.1914805
782,0.19124128
783,0.19100058
784,0.19076002
785,0.1905202
786,0.19028144
787,0.19004205
788,0.18980044
789,0.18956049
790,0.18932135
791,0.189083
792,0.188844
793,0.1886059
794,0.18837062
795,0.18813549
796,0.18790247
797,0.18767114
798,0.18744262
799,0.18721513
800,0.18698828
801,0.18676068
802,0.18653315
803,0.18630691
804,0.1860817
805,0.1858577
806,0.18563437
807,0.1854328
808,0.18522257
809,0.1850143
810,0.18481357
811,0.18461204
812,0.18440954
813,0.18421052
814,0.18401764
815,0.18381906
816,0.1836215
817,0.18342245
818,0.18322797
819,0.18302816
820,0.18282987
821,0.18263264
822,0.18243945
823,0.18224505
824,0.18205288
825,0.18186398
826,0.18167573
827,0.18148513
828,0.18129672
829,0.1811139
830,0.18093278
831,0.18074414
832,0.18055849
833,0.18037906
834,0.18020447
835,0.18002455
836,0.1798454
837,0.17966834
838,0.17949507
839,0.17931654
840,0.17914023
841,0.17896704
842,0.1787962
843,0.17862144
844,0.17845255
845,0.17828672
846,0.1781232
847,0.1779591
848,0.17779312
849,0.17763522
850,0.17747568
851,0.17731546
852,0.17715876
853,0.17700283
854,0.17685163
855,0.17669159
856,0.17653464
857,0.17638345
858,0.17623141
859,0.17607573
860,0.17592031
861,0.17577402
862,0.17562029
863,0.1754671
864,0.1753162
865,0.17516956
866,0.17502451
867,0.1748729
868,0.17472552
869,0.17457947
870,0.17443827
871,0.17429577
872,0.17414844
873,0.17400648
874,0.17387001
875,0.17372906
876,0.17358615
877,0.17344417
878,0.17331141
879,0.17317173
880,0.17302847
881,0.17288607
882,0.17275265
883,0.1726233
884,0.17247693
885,0.17234136
886,0.17221384
887,0.17207898
888,0.17194833
889,0.17181717
890,0.171684
891,0.17155829
892,0.17142847
893,0.17130046
894,0.17116876
895,0.17104681
896,0.17092124
897,0.17078923
898,0.1706631
899,0.17054111
900,0.17041616
901,0.17028894
902,0.1701627
903,0.17004618
904,0.16992868
905,0.16980796
906,0.16968839
907,0.1695732
908,0.16945826
909,0.16933817
910,0.16922115
911,0.16910636
912,0.1689946
913,0.16887802
914,0.16876632
915,0.16865672
916,0.16854917
917,0.1684383
918,0.16832897
919,0.16822012
920,0.16811419
921,0.16800247
922,0.16789138
923,0.16778259
924,0.16767718
925,0.16756949
926,0.16746421
927,0.16736417
928,0.16726571
929,0.1671626
930,0.16706051
931,0.16696489
932,0.1668649
933,0.16676396
934,0.16666506
935,0.16656919
936,0.16646624
937,0.16636355
938,0.16626544
939,0.16616452
940,0.16606073
941,0.16595803
942,0.1658624
943,0.16575998
944,0.16565728
945,0.16555718
946,0.16545856
947,0.16535595
948,0.16525394
949,0.16515765
950,0.1650586
951,0.1649568
952,0.1648548
953,0.16475731
954,0.16465317
955,0.16454977
956,0.16445005
957,0.164352
958,0.16424976
959,0.16414788
960,0.16404997
961,0.16394912
962,0.16384625
963,0.16374408
964,0.163649
965,0.16354653
966,0.1634428
967,0.1633421
968,0.16324387
969,0.16314054
970,0.16303784
971,0.16293912
972,0.16284116
973,0.16273941
974,0.16263804
975,0.16254166
976,0.16244413
977,0.16234393
978,0.16224451
979,0.16215146
980,0.16205443
981,0.16195597
982,0.16185835
983,0.16176784
984,0.16167024
985,0.16157334
986,0.16147894
987,0.16138805
988,0.16129217
989,0.16119695
990,0.16110559
991,0.16101483
992,0.16092043
993,0.1608263
994,0.16073558
995,0.16064337
996,0.1605488
997,0.16045485
998,0.16036633
999,0.16027436
