Epoch,Loss
0,1.4045951
1,1.3895874
2,1.374955
3,1.3607202
4,1.3468785
5,1.333363
6,1.3201889
7,1.3073547
8,1.2948472
9,1.2826815
10,1.2708337
11,1.2593529
12,1.2481172
13,1.2371836
14,1.2264967
15,1.216058
16,1.2058516
17,1.1958543
18,1.1861025
19,1.1765842
20,1.1672922
21,1.158156
22,1.1492003
23,1.1403832
24,1.1317236
25,1.1232258
26,1.114925
27,1.1067474
28,1.0987353
29,1.090874
30,1.0831398
31,1.0754921
32,1.0679635
33,1.0605513
34,1.0532864
35,1.0461125
36,1.039008
37,1.0319659
38,1.0251819
39,1.0184761
40,1.0118424
41,1.0053468
42,0.9990054
43,0.99278253
44,0.98664886
45,0.9806197
46,0.9746908
47,0.96883327
48,0.9629747
49,0.9571555
50,0.9513955
51,0.94569826
52,0.94006467
53,0.93449515
54,0.9290337
55,0.9236136
56,0.9182247
57,0.9129077
58,0.90761864
59,0.9023728
60,0.8971658
61,0.8920216
62,0.88694793
63,0.8819499
64,0.87698644
65,0.872051
66,0.8671167
67,0.86224043
68,0.857442
69,0.85270464
70,0.8480038
71,0.8433628
72,0.83880854
73,0.834311
74,0.8298726
75,0.82547104
76,0.8211056
77,0.8167963
78,0.81256115
79,0.80836964
80,0.80423003
81,0.8001362
82,0.79609495
83,0.79211193
84,0.78816104
85,0.78425086
86,0.78040266
87,0.77661306
88,0.7728748
89,0.76918614
90,0.76553184
91,0.7619052
92,0.75831866
93,0.75480443
94,0.7513316
95,0.7478988
96,0.7445087
97,0.7411465
98,0.7378075
99,0.734517
100,0.73126966
101,0.7280559
102,0.72488517
103,0.7217422
104,0.7186235
105,0.7155392
106,0.712477
107,0.70943457
108,0.70642996
109,0.70344406
110,0.7004746
111,0.6975218
112,0.6945881
113,0.69167703
114,0.68878895
115,0.6859226
116,0.68309045
117,0.6802733
118,0.67747223
119,0.6746905
120,0.6719425
121,0.66922045
122,0.66652197
123,0.6638406
124,0.661197
125,0.65857863
126,0.65599644
127,0.6534411
128,0.6508995
129,0.6483767
130,0.6458705
131,0.6433866
132,0.6409395
133,0.6385066
134,0.63608724
135,0.6336919
136,0.63132507
137,0.628999
138,0.62668383
139,0.6243858
140,0.622105
141,0.6198363
142,0.617579
143,0.61533666
144,0.6131084
145,0.61088914
146,0.6086793
147,0.6064819
148,0.60429543
149,0.602123
150,0.59996396
151,0.5978199
152,0.5956953
153,0.5935788
154,0.591477
155,0.58938766
156,0.58730847
157,0.5852417
158,0.58319986
159,0.58116883
160,0.57915074
161,0.5771449
162,0.5751479
163,0.57316107
164,0.5711852
165,0.5692228
166,0.5672788
167,0.5653401
168,0.56341124
169,0.5614956
170,0.5595863
171,0.55768657
172,0.55580103
173,0.5539274
174,0.5520645
175,0.5502084
176,0.54835904
177,0.54652697
178,0.54470474
179,0.54289013
180,0.5410852
181,0.53929657
182,0.5375163
183,0.5357466
184,0.53398305
185,0.5322252
186,0.53047484
187,0.5287311
188,0.52699196
189,0.5252589
190,0.52353454
191,0.5218166
192,0.5201065
193,0.5184005
194,0.51670116
195,0.515009
196,0.51332927
197,0.511666
198,0.51000947
199,0.50836396
200,0.50673056
201,0.5051013
202,0.5034744
203,0.50185364
204,0.50024027
205,0.4986322
206,0.49702984
207,0.49543494
208,0.4938498
209,0.492271
210,0.49070695
211,0.48915088
212,0.4876007
213,0.48605886
214,0.48452556
215,0.48300153
216,0.48148742
217,0.4799831
218,0.47848257
219,0.4769882
220,0.4754987
221,0.47401422
222,0.47253582
223,0.47106317
224,0.4695973
225,0.46814203
226,0.46669462
227,0.46525535
228,0.46382722
229,0.46240404
230,0.4609867
231,0.45957565
232,0.45817304
233,0.45677626
234,0.45538485
235,0.4540011
236,0.4526247
237,0.45125362
238,0.44988778
239,0.44852567
240,0.44717136
241,0.44582465
242,0.44448218
243,0.44314313
244,0.44181105
245,0.4404859
246,0.43916577
247,0.43785247
248,0.43654597
249,0.4352521
250,0.43396354
251,0.4326844
252,0.4314046
253,0.4301116
254,0.42882273
255,0.4275386
256,0.42625958
257,0.4249856
258,0.42371634
259,0.42245153
260,0.42119133
261,0.41993693
262,0.41868928
263,0.41745082
