Epoch,Loss
0,1.038786
1,1.0274498
2,1.0164447
3,1.0057294
4,0.9953464
5,0.9852958
6,0.97551316
7,0.9659714
8,0.95666414
9,0.94759977
10,0.9387615
11,0.9301791
12,0.9217907
13,0.9135874
14,0.9055973
15,0.8977906
16,0.8901626
17,0.8826882
18,0.8753632
19,0.86820364
20,0.86121035
21,0.85434705
22,0.84761965
23,0.84101075
24,0.8345194
25,0.8281444
26,0.82188123
27,0.81572133
28,0.80968404
29,0.80375755
30,0.797938
31,0.7922556
32,0.7866504
33,0.78112566
34,0.77567405
35,0.7702925
36,0.76498634
37,0.75976354
38,0.7546101
39,0.7495128
40,0.74447936
41,0.7395222
42,0.7346312
43,0.7297977
44,0.7250183
45,0.72028774
46,0.71561486
47,0.71099514
48,0.7064338
49,0.701947
50,0.69750977
51,0.6931213
52,0.68877447
53,0.684464
54,0.68019855
55,0.67597276
56,0.67179877
57,0.66766405
58,0.66355956
59,0.659489
60,0.65544736
61,0.65143484
62,0.6474653
63,0.6435272
64,0.6396161
65,0.6357294
66,0.6318684
67,0.6280366
68,0.6242428
69,0.620489
70,0.61677057
71,0.61308396
72,0.60942495
73,0.60578775
74,0.6021736
75,0.59859204
76,0.5950568
77,0.591543
78,0.5880537
79,0.58458424
80,0.58113295
81,0.57770056
82,0.5742814
83,0.5708757
84,0.5674752
85,0.56410575
86,0.56078714
87,0.5574864
88,0.5542082
89,0.5509553
90,0.54771703
91,0.54449356
92,0.5412886
93,0.538103
94,0.5349303
95,0.5317768
96,0.52863735
97,0.5255175
98,0.52241945
99,0.5193334
100,0.5162619
101,0.51320416
102,0.51015747
103,0.5071249
104,0.5041152
105,0.5011206
106,0.49814156
107,0.49517822
108,0.4922276
109,0.48929352
110,0.48639187
111,0.4834998
112,0.48061907
113,0.47775728
114,0.47491553
115,0.47209653
116,0.46929273
117,0.4665019
118,0.46373582
119,0.46098852
120,0.45825776
121,0.45554307
122,0.4528419
123,0.45015064
124,0.44747317
125,0.44482258
126,0.44219562
127,0.4395826
128,0.43698964
129,0.43441296
130,0.43186036
131,0.42931792
132,0.42679682
133,0.42428905
134,0.42179194
135,0.41931987
136,0.4168767
137,0.41445324
138,0.41204846
139,0.40965486
140,0.40727308
141,0.40490368
142,0.40254897
143,0.4002067
144,0.39787346
145,0.39555195
146,0.39324445
147,0.39094695
148,0.38866416
149,0.38638988
150,0.38412523
151,0.38187048
152,0.3796311
153,0.3774038
154,0.3751855
155,0.37297687
156,0.3707791
157,0.36859486
158,0.36642736
159,0.36427656
160,0.36214852
161,0.36003155
162,0.3579289
163,0.35583705
164,0.35375595
165,0.3516845
166,0.3496233
167,0.34757137
168,0.3455293
169,0.34349754
170,0.34147638
171,0.33946508
172,0.33746466
173,0.33547795
174,0.3335025
175,0.33153662
176,0.3295806
177,0.32763454
178,0.3257006
179,0.32378808
180,0.3218969
181,0.3200191
182,0.3181518
183,0.3162955
184,0.31444958
185,0.31261483
186,0.31079078
187,0.3089814
188,0.30718318
189,0.30539557
190,0.30361867
191,0.30186042
192,0.30011228
193,0.29837474
194,0.29664797
195,0.29493144
196,0.29322746
197,0.29153496
198,0.28985515
199,0.28818604
200,0.28652918
201,0.28488585
202,0.28325763
203,0.28164053
204,0.2800348
205,0.27843958
206,0.276855
207,0.27528238
208,0.27372494
209,0.27217793
210,0.27064165
211,0.26911587
212,0.2676095
213,0.26614374
214,0.26468983
215,0.26324797
216,0.26181698
217,0.2603989
218,0.25899574
219,0.25760594
220,0.2562267
221,0.25485831
222,0.25350013
223,0.252152
224,0.25081432
225,0.2494887
226,0.24817325
227,0.24686795
228,0.2455733
229,0.24428903
230,0.24301538
231,0.24175225
232,0.24050069
233,0.23925915
234,0.23802762
235,0.23680604
236,0.23559435
237,0.23439275
238,0.23320124
239,0.23201948
240,0.23084787
241,0.22968772
242,0.22853762
243,0.22739841
244,0.226271
245,0.22515509
246,0.224049
247,0.22295254
248,0.22186576
249,0.22078915
250,0.21972205
251,0.21866441
252,0.21761619
253,0.21657941
254,0.21555768
255,0.21454579
256,0.2135432
257,0.21255022
258,0.21156687
259,0.21059461
260,0.20963137
261,0.20868284
262,0.20776483
263,0.20685536
264,0.20595457
265,0.20506246
266,0.2041789
267,0.20330392
268,0.2024375
269,0.20157957
270,0.20073053
271,0.1998898
272,0.19905746
273,0.19823313
274,0.19741696
275,0.19660912
276,0.19580951
277,0.19501798
278,0.19423443
279,0.19345996
