Store code,the date,Number of sales,Unit cost,Selling price,Store code
1143363,03/01/2015,  1    ,  57    ,  54    ,1153473
1143366,03/01/2015,  2    ,  75    ,  76    ,1478073
1143403,03/01/2015,  1    ,  57    ,  54    ,1491804
1143405,03/01/2015,  1    ,  48    ,  54    ,1204518
1144860,03/01/2015,  1    ,  75    ,  67    ,1275785
1145004,03/01/2015,  1    ,  48    ,  46    ,1463048
1145538,03/01/2015,  1    ,  57    ,  54    ,1149639
1145678,03/01/2015,  3    ,  63    ,  69    ,1149642
1147105,03/01/2015,  1    ,  57    ,  54    ,1149643
1147199,03/01/2015,  1    ,  77    ,  80    ,1153518
1147528,03/01/2015,  1    ,  94    ,  107    ,1316043
1147554,03/01/2015,  1    ,  66    ,  91    ,1149711
1149711,03/01/2015,  1    ,  75    ,  75    ,1149714
1151738,03/01/2015,  2    ,  70    ,  90    ,1149710
1151743,03/01/2015,  1    ,  80    ,  75    ,1202418
1151862,03/01/2015,  1    ,  156    ,  177    ,1234443
1152049,03/01/2015,  1    ,  92    ,  107    ,1276765
1152051,03/01/2015,  1    ,  57    ,  57    ,1153528
1153460,03/01/2015,  1    ,  57    ,  57    ,1153524
1153461,03/01/2015,  2    ,  65    ,  62    ,1153525
1153511,03/01/2015,  2    ,  80    ,  95    ,1153527
1153519,03/01/2015,  2    ,  69    ,  67    ,1153526
1153521,03/01/2015,  3    ,  91    ,  101    ,1145005
1153525,03/01/2015,  2    ,  78    ,  94    ,1372999
1153527,03/01/2015,  3    ,  56    ,  61    ,1145000
1153528,03/01/2015,  2    ,  57    ,  54    ,1333626
1156658,03/01/2015,  1    ,  57    ,  57    ,1145004
1158938,03/01/2015,  2    ,  85    ,  99    ,1143767
1160923,03/01/2015,  1    ,  69    ,  80    ,1125726
1166831,03/01/2015,  2    ,  94    ,  117    ,1181434
1168831,03/01/2015,  1    ,  69    ,  80    ,1455486
1170701,03/01/2015,  1    ,  67    ,  70    ,1294422
1172838,03/01/2015,  1    ,  87    ,  96    ,1380788
1174680,03/01/2015,  1    ,  74    ,  75    ,1463451
1178750,03/01/2015,  1    ,  69    ,  80    ,1348733
1180626,03/01/2015,  2    ,  44    ,  47    ,1125040
1181434,03/01/2015,  3    ,  74    ,  81    ,1403429
1186262,03/01/2015,  1    ,  67    ,  70    ,1479073
1196175,03/01/2015,  2    ,  78    ,  86    ,1500255
1196189,03/01/2015,  2    ,  69    ,  83    ,1225244
1204518,03/01/2015,  2    ,  56    ,  56    ,1135618
1216328,03/01/2015,  1    ,  67    ,  70    ,1125039
1221484,03/01/2015,  3    ,  87    ,  102    ,1173031
1225745,03/01/2015,  1    ,  80    ,  75    ,1168831
1241545,03/01/2015,  3    ,  62    ,  57    ,1370669
1242275,03/01/2015,  2    ,  72    ,  80    ,1159778
1245775,03/01/2015,  1    ,  48    ,  46    ,1457717
1269346,03/01/2015,  2    ,  57    ,  52    ,1271440
1279611,03/01/2015,  1    ,  48    ,  54    ,105426
1279631,03/01/2015,  1    ,  121    ,  107    ,1340370
1287824,03/01/2015,  3    ,  63    ,  71    ,1429125
1294422,03/01/2015,  1    ,  80    ,  107    ,1140597
1294511,03/01/2015,  1    ,  80    ,  75    ,101462
1294702,03/01/2015,  4    ,  85    ,  86    ,1170701
1295811,03/01/2015,  1    ,  72    ,  64    ,1231645
1305313,03/01/2015,  1    ,  67    ,  70    ,111687
1316043,03/01/2015,  1    ,  100    ,  118    ,1460642
1319593,03/01/2015,  1    ,  48    ,  46    ,1463452
1319605,03/01/2015,  2    ,  84    ,  99    ,1186262
1343936,03/01/2015,  3    ,  70    ,  75    ,1484789
1348033,03/01/2015,  2    ,  56    ,  54    ,105122
1348733,03/01/2015,  2    ,  69    ,  64    ,1221484
1356241,03/01/2015,  1    ,  54    ,  54    ,1158938
1363619,03/01/2015,  3    ,  88    ,  116    ,1172591
1370669,03/01/2015,  1    ,  156    ,  177    ,1153531
1372999,03/01/2015,  1    ,  67    ,  70    ,1144860
1380788,03/01/2015,  3    ,  85    ,  76    ,1144844
1398161,03/01/2015,  1    ,  57    ,  54    ,1139627
1403429,03/01/2015,  1    ,  167    ,  177    ,1141327
1423417,03/01/2015,  1    ,  74    ,  75    ,1145299
1423426,03/01/2015,  1    ,  72    ,  64    ,1141565
1429125,03/01/2015,  2    ,  53    ,  50    ,1141567
1444116,03/01/2015,  1    ,  75    ,  75    ,1166831
1458711,03/01/2015,  2    ,  69    ,  64    ,1141563
1460654,03/01/2015,  1    ,  66    ,  91    ,1241545
1463048,03/01/2015,  1    ,  80    ,  75    ,1141564
1463452,03/01/2015,  1    ,  57    ,  54    ,1145678
1463473,03/01/2015,  2    ,  54    ,  54    ,1245775
1478073,03/01/2015,  1    ,  72    ,  64    ,1287824
101462,04/01/2015,  5    ,  106    ,  127    ,1136019
105122,04/01/2015,  2    ,  74    ,  86    ,1138567
1125039,04/01/2015,  1    ,  80    ,  75    ,1136014
1136017,04/01/2015,  3    ,  60    ,  56    ,1411640
1136019,04/01/2015,  2    ,  57    ,  58    ,1136017
1136020,04/01/2015,  1    ,  87    ,  107    ,1310523
1138567,04/01/2015,  1    ,  75    ,  67    ,1178750
1141563,04/01/2015,  3    ,  60    ,  61    ,1463471
1141567,04/01/2015,  1    ,  69    ,  80    ,1225745
1143363,04/01/2015,  4    ,  75    ,  72    ,1136020
1143366,04/01/2015,  1    ,  66    ,  91    ,1458711
1143403,04/01/2015,  1    ,  69    ,  80    ,1466903
1143405,04/01/2015,  2    ,  76    ,  91    ,1463473
