Store code,the date,Number of sales,Unit cost,Selling price,Store code
1136019,23/04/2015,  1    ,  93    ,  91    ,
1136020,23/04/2015,  1    ,  89    ,  105    ,
1141563,23/04/2015,  2    ,  94    ,  106    ,
1141564,23/04/2015,  1    ,  60    ,  73    ,
1143366,23/04/2015,  1    ,  68    ,  81    ,
1144844,23/04/2015,  1    ,  68    ,  81    ,
1145004,23/04/2015,  1    ,  52    ,  55    ,
1145299,23/04/2015,  1    ,  72    ,  94    ,
1145346,23/04/2015,  2    ,  54    ,  65    ,
1145540,23/04/2015,  3    ,  66    ,  76    ,
1145678,23/04/2015,  1    ,  55    ,  82    ,
1147541,23/04/2015,  2    ,  60    ,  63    ,
1147554,23/04/2015,  1    ,  72    ,  91    ,
1149710,23/04/2015,  1    ,  52    ,  55    ,
1149714,23/04/2015,  1    ,  72    ,  91    ,
1149718,23/04/2015,  1    ,  108    ,  114    ,
1151743,23/04/2015,  2    ,  54    ,  68    ,
1152049,23/04/2015,  1    ,  40    ,  50    ,
1152210,23/04/2015,  2    ,  105    ,  135    ,
1153467,23/04/2015,  1    ,  68    ,  81    ,
1153471,23/04/2015,  1    ,  84    ,  103    ,
1153511,23/04/2015,  1    ,  72    ,  94    ,
1153515,23/04/2015,  1    ,  40    ,  50    ,
1153518,23/04/2015,  1    ,  68    ,  81    ,
1153519,23/04/2015,  1    ,  56    ,  68    ,
1153520,23/04/2015,  2    ,  56    ,  70    ,
1153521,23/04/2015,  2    ,  40    ,  50    ,
1156629,23/04/2015,  2    ,  54    ,  68    ,
1156658,23/04/2015,  1    ,  94    ,  108    ,
1158938,23/04/2015,  2    ,  40    ,  50    ,
1174680,23/04/2015,  1    ,  72    ,  96    ,
1179050,23/04/2015,  1    ,  68    ,  81    ,
1196175,23/04/2015,  1    ,  72    ,  91    ,
1204518,23/04/2015,  1    ,  50    ,  77    ,
1216328,23/04/2015,  2    ,  54    ,  61    ,
1225745,23/04/2015,  2    ,  120    ,  100    ,
1234443,23/04/2015,  1    ,  60    ,  77    ,
1241545,23/04/2015,  2    ,  110    ,  139    ,
1245775,23/04/2015,  1    ,  72    ,  91    ,
1271440,23/04/2015,  1    ,  52    ,  55    ,
1275785,23/04/2015,  2    ,  62    ,  73    ,
1276755,23/04/2015,  1    ,  52    ,  55    ,
1276765,23/04/2015,  1    ,  89    ,  105    ,
1279631,23/04/2015,  2    ,  48    ,  59    ,
1294702,23/04/2015,  1    ,  72    ,  91    ,
1310523,23/04/2015,  1    ,  88    ,  127    ,
1319593,23/04/2015,  1    ,  40    ,  50    ,
1319605,23/04/2015,  1    ,  64    ,  61    ,
1319633,23/04/2015,  1    ,  59    ,  44    ,
1333626,23/04/2015,  1    ,  68    ,  81    ,
1348733,23/04/2015,  1    ,  52    ,  55    ,
1370669,23/04/2015,  2    ,  89    ,  105    ,
1380788,23/04/2015,  1    ,  56    ,  91    ,
1403429,23/04/2015,  1    ,  50    ,  77    ,
1411640,23/04/2015,  1    ,  60    ,  73    ,
1431318,23/04/2015,  3    ,  60    ,  74    ,
1444116,23/04/2015,  1    ,  40    ,  50    ,
1456867,23/04/2015,  1    ,  72    ,  94    ,
1463471,23/04/2015,  1    ,  68    ,  81    ,
1478073,23/04/2015,  1    ,  68    ,  81    ,
1484789,23/04/2015,  1    ,  55    ,  82    ,
101462,24/04/2015,  1    ,  40    ,  50    ,
105122,24/04/2015,  1    ,  40    ,  50    ,
105426,24/04/2015,  1    ,  50    ,  77    ,
1135618,24/04/2015,  1    ,  55    ,  82    ,
1136017,24/04/2015,  10    ,  71    ,  83    ,
1136019,24/04/2015,  1    ,  93    ,  91    ,
1139627,24/04/2015,  1    ,  69    ,  105    ,
1140597,24/04/2015,  3    ,  58    ,  80    ,
1141563,24/04/2015,  1    ,  124    ,  120    ,
1143363,24/04/2015,  2    ,  60    ,  68    ,
1143366,24/04/2015,  1    ,  60    ,  73    ,
1143405,24/04/2015,  2    ,  62    ,  81    ,
1144844,24/04/2015,  1    ,  52    ,  55    ,
1144860,24/04/2015,  2    ,  94    ,  109    ,
1145005,24/04/2015,  1    ,  40    ,  50    ,
1145346,24/04/2015,  1    ,  94    ,  105    ,
1145347,24/04/2015,  1    ,  89    ,  105    ,
1145538,24/04/2015,  1    ,  40    ,  50    ,
1145678,24/04/2015,  2    ,  64    ,  82    ,
1147019,24/04/2015,  2    ,  64    ,  86    ,
1147091,24/04/2015,  1    ,  52    ,  55    ,
1147528,24/04/2015,  1    ,  40    ,  50    ,
1147554,24/04/2015,  1    ,  40    ,  50    ,
1149639,24/04/2015,  1    ,  56    ,  68    ,
1149710,24/04/2015,  1    ,  55    ,  82    ,
1149711,24/04/2015,  2    ,  77    ,  82    ,
1149718,24/04/2015,  1    ,  50    ,  77    ,
1151743,24/04/2015,  1    ,  40    ,  50    ,
1151862,24/04/2015,  1    ,  68    ,  81    ,
1153456,24/04/2015,  1    ,  108    ,  114    ,
1153461,24/04/2015,  1    ,  64    ,  61    ,
1153470,24/04/2015,  1    ,  50    ,  77    ,
1153474,24/04/2015,  1    ,  52    ,  58    ,
1153515,24/04/2015,  1    ,  68    ,  81    ,
1153519,24/04/2015,  1    ,  107    ,  127    ,
1153521,24/04/2015,  1    ,  40    ,  50    ,
1153524,24/04/2015,  1    ,  40    ,  50    ,
1153525,24/04/2015,  1    ,  93    ,  91    ,
1153526,24/04/2015,  1    ,  68    ,  81    ,
1153528,24/04/2015,  2    ,  78    ,  95    ,
1153531,24/04/2015,  1    ,  108    ,  114    ,
1156629,24/04/2015,  1    ,  64    ,  77    ,
1159778,24/04/2015,  1    ,  56    ,  68    ,
1168831,24/04/2015,  1    ,  55    ,  82    ,
1173031,24/04/2015,  1    ,  60    ,  73    ,
1178717,24/04/2015,  1    ,  68    ,  81    ,
1178750,24/04/2015,  1    ,  93    ,  91    ,
1181034,24/04/2015,  1    ,  40    ,  50    ,
1181434,24/04/2015,  1    ,  89    ,  105    ,
1225244,24/04/2015,  1    ,  72    ,  91    ,
1226705,24/04/2015,  2    ,  80    ,  87    ,
1241545,24/04/2015,  3    ,  63    ,  74    ,
1287824,24/04/2015,  1    ,  93    ,  91    ,
1294511,24/04/2015,  1    ,  68    ,  81    ,
1294702,24/04/2015,  2    ,  73    ,  86    ,
1295811,24/04/2015,  1    ,  124    ,  137    ,
1310523,24/04/2015,  2    ,  72    ,  98    ,
1319633,24/04/2015,  1    ,  94    ,  105    ,
1345915,24/04/2015,  1    ,  68    ,  81    ,
1348733,24/04/2015,  1    ,  55    ,  82    ,
1363619,24/04/2015,  1    ,  111    ,  172    ,
1380788,24/04/2015,  3    ,  107    ,  130    ,
1398161,24/04/2015,  1    ,  79    ,  97    ,
1403429,24/04/2015,  1    ,  84    ,  100    ,
1411640,24/04/2015,  1    ,  72    ,  91    ,
1423426,24/04/2015,  1    ,  60    ,  73    ,
1429125,24/04/2015,  1    ,  64    ,  61    ,
1431318,24/04/2015,  2    ,  62    ,  75    ,
1434555,24/04/2015,  1    ,  108    ,  114    ,
1444116,24/04/2015,  1    ,  72    ,  91    ,
1457717,24/04/2015,  1    ,  52    ,  55    ,
1460654,24/04/2015,  1    ,  72    ,  91    ,
1463048,24/04/2015,  2    ,  69    ,  93    ,
1463452,24/04/2015,  1    ,  72    ,  91    ,
1463473,24/04/2015,  1    ,  52    ,  55    ,
1484789,24/04/2015,  1    ,  56    ,  68    ,
105122,25/04/2015,  1    ,  72    ,  91    ,
105426,25/04/2015,  1    ,  131    ,  150    ,
111687,25/04/2015,  1    ,  108    ,  114    ,
1125039,25/04/2015,  2    ,  48    ,  66    ,
1136017,25/04/2015,  3    ,  102    ,  108    ,
1136019,25/04/2015,  3    ,  82    ,  109    ,
1136020,25/04/2015,  1    ,  68    ,  81    ,
1138567,25/04/2015,  1    ,  40    ,  50    ,
1140597,25/04/2015,  2    ,  62    ,  74    ,
1141327,25/04/2015,  1    ,  68    ,  81    ,
1141563,25/04/2015,  2    ,  71    ,  80    ,
1141565,25/04/2015,  1    ,  55    ,  82    ,
1145005,25/04/2015,  1    ,  40    ,  50    ,
1145346,25/04/2015,  1    ,  84    ,  100    ,
1145347,25/04/2015,  1    ,  60    ,  73    ,
1145540,25/04/2015,  2    ,  46    ,  52    ,
1145678,25/04/2015,  3    ,  56    ,  70    ,
1147091,25/04/2015,  2    ,  52    ,  56    ,
1147105,25/04/2015,  1    ,  40    ,  50    ,
1147199,25/04/2015,  1    ,  68    ,  81    ,
1147554,25/04/2015,  1    ,  40    ,  50    ,
1151738,25/04/2015,  3    ,  76    ,  98    ,
1151743,25/04/2015,  1    ,  68    ,  81    ,
1151862,25/04/2015,  1    ,  68    ,  81    ,
1152052,25/04/2015,  1    ,  55    ,  82    ,
1152210,25/04/2015,  1    ,  68    ,  81    ,
1153460,25/04/2015,  1    ,  68    ,  81    ,
1153463,25/04/2015,  2    ,  60    ,  68    ,
1153467,25/04/2015,  2    ,  73    ,  86    ,
1153473,25/04/2015,  2    ,  82    ,  87    ,
1153515,25/04/2015,  1    ,  60    ,  73    ,
1153519,25/04/2015,  6    ,  71    ,  82    ,
1153521,25/04/2015,  2    ,  48    ,  66    ,
1159778,25/04/2015,  1    ,  68    ,  81    ,
1168831,25/04/2015,  1    ,  52    ,  55    ,
1172838,25/04/2015,  1    ,  64    ,  61    ,
1202418,25/04/2015,  1    ,  72    ,  91    ,
1204285,25/04/2015,  1    ,  52    ,  55    ,
1216328,25/04/2015,  2    ,  58    ,  80    ,
1221484,25/04/2015,  1    ,  68    ,  81    ,
1231645,25/04/2015,  1    ,  60    ,  73    ,
1232876,25/04/2015,  1    ,  40    ,  50    ,
1241545,25/04/2015,  3    ,  64    ,  75    ,
1245775,25/04/2015,  2    ,  68    ,  84    ,
1269345,25/04/2015,  1    ,  64    ,  61    ,
1271440,25/04/2015,  1    ,  69    ,  105    ,
1276755,25/04/2015,  1    ,  55    ,  82    ,
1294422,25/04/2015,  1    ,  55    ,  82    ,
1294432,25/04/2015,  1    ,  40    ,  50    ,
1294511,25/04/2015,  1    ,  131    ,  150    ,
1310523,25/04/2015,  2    ,  86    ,  88    ,
1319593,25/04/2015,  1    ,  68    ,  81    ,
1345915,25/04/2015,  3    ,  82    ,  98    ,
1348733,25/04/2015,  1    ,  52    ,  55    ,
1356241,25/04/2015,  1    ,  72    ,  91    ,
1370669,25/04/2015,  1    ,  55    ,  82    ,
1380788,25/04/2015,  1    ,  84    ,  100    ,
1403429,25/04/2015,  2    ,  100    ,  122    ,
1411640,25/04/2015,  2    ,  71    ,  98    ,
1423417,25/04/2015,  1    ,  40    ,  50    ,
1431318,25/04/2015,  2    ,  67    ,  94    ,
1444116,25/04/2015,  1    ,  68    ,  81    ,
1456867,25/04/2015,  1    ,  56    ,  72    ,
1457717,25/04/2015,  1    ,  68    ,  81    ,
1460654,25/04/2015,  2    ,  82    ,  102    ,
1463451,25/04/2015,  1    ,  111    ,  172    ,
1463452,25/04/2015,  1    ,  64    ,  61    ,
101462,26/04/2015,  1    ,  64    ,  77    ,
105122,26/04/2015,  3    ,  57    ,  79    ,
105426,26/04/2015,  3    ,  77    ,  101    ,
111687,26/04/2015,  2    ,  67    ,  91    ,
1135618,26/04/2015,  1    ,  72    ,  91    ,
1136014,26/04/2015,  2    ,  84    ,  105    ,
1136017,26/04/2015,  1    ,  88    ,  127    ,
1136019,26/04/2015,  2    ,  70    ,  86    ,
1140597,26/04/2015,  1    ,  52    ,  55    ,
1141563,26/04/2015,  1    ,  68    ,  81    ,
1143366,26/04/2015,  1    ,  46    ,  38    ,
1143405,26/04/2015,  1    ,  69    ,  105    ,
1144844,26/04/2015,  2    ,  82    ,  98    ,
1144860,26/04/2015,  1    ,  108    ,  114    ,
1145000,26/04/2015,  1    ,  52    ,  55    ,
1145347,26/04/2015,  2    ,  74    ,  82    ,
1147091,26/04/2015,  1    ,  56    ,  82    ,
1149714,26/04/2015,  1    ,  68    ,  81    ,
1151738,26/04/2015,  1    ,  50    ,  77    ,
1151862,26/04/2015,  1    ,  89    ,  105    ,
1152049,26/04/2015,  1    ,  40    ,  50    ,
1153461,26/04/2015,  2    ,  94    ,  98    ,
1153470,26/04/2015,  2    ,  40    ,  50    ,
1153471,26/04/2015,  1    ,  56    ,  72    ,
1153519,26/04/2015,  3    ,  79    ,  89    ,
1153520,26/04/2015,  2    ,  48    ,  66    ,
1153521,26/04/2015,  1    ,  89    ,  105    ,
1153527,26/04/2015,  1    ,  56    ,  82    ,
1153528,26/04/2015,  1    ,  68    ,  81    ,
1158938,26/04/2015,  1    ,  89    ,  105    ,
1160923,26/04/2015,  1    ,  60    ,  73    ,
1170701,26/04/2015,  1    ,  89    ,  105    ,
1172591,26/04/2015,  1    ,  52    ,  55    ,
1172849,26/04/2015,  1    ,  193    ,  191    ,
1178750,26/04/2015,  1    ,  89    ,  105    ,
1181034,26/04/2015,  2    ,  83    ,  98    ,
1181434,26/04/2015,  1    ,  52    ,  55    ,
1196189,26/04/2015,  2    ,  54    ,  72    ,
1202418,26/04/2015,  1    ,  55    ,  82    ,
1225745,26/04/2015,  1    ,  84    ,  100    ,
1226705,26/04/2015,  1    ,  68    ,  81    ,
1241545,26/04/2015,  1    ,  52    ,  55    ,
1275785,26/04/2015,  1    ,  55    ,  82    ,
1276765,26/04/2015,  1    ,  68    ,  81    ,
1279611,26/04/2015,  1    ,  46    ,  38    ,
1279631,26/04/2015,  1    ,  40    ,  50    ,
1287824,26/04/2015,  1    ,  54    ,  77    ,
1294702,26/04/2015,  2    ,  60    ,  80    ,
1295811,26/04/2015,  2    ,  46    ,  52    ,
1310523,26/04/2015,  2    ,  110    ,  127    ,
1319593,26/04/2015,  1    ,  40    ,  50    ,
1319605,26/04/2015,  3    ,  66    ,  87    ,
1333626,26/04/2015,  1    ,  60    ,  73    ,
1340370,26/04/2015,  1    ,  56    ,  82    ,
1343936,26/04/2015,  1    ,  88    ,  127    ,
1345915,26/04/2015,  2    ,  70    ,  76    ,
1348033,26/04/2015,  1    ,  55    ,  72    ,
1348733,26/04/2015,  1    ,  84    ,  100    ,
1363619,26/04/2015,  1    ,  55    ,  82    ,
1370669,26/04/2015,  3    ,  110    ,  139    ,
1380788,26/04/2015,  3    ,  52    ,  55    ,
1403429,26/04/2015,  2    ,  62    ,  73    ,
1411640,26/04/2015,  1    ,  69    ,  105    ,
1421783,26/04/2015,  1    ,  40    ,  50    ,
1456696,26/04/2015,  1    ,  46    ,  38    ,
1456867,26/04/2015,  1    ,  68    ,  81    ,
1457717,26/04/2015,  1    ,  72    ,  91    ,
1460642,26/04/2015,  1    ,  88    ,  127    ,
1463471,26/04/2015,  1    ,  56    ,  65    ,
1478073,26/04/2015,  1    ,  71    ,  114    ,
1484789,26/04/2015,  1    ,  55    ,  82    ,
101462,27/04/2015,  1    ,  84    ,  100    ,
105426,27/04/2015,  1    ,  91    ,  91    ,
1136014,27/04/2015,  1    ,  72    ,  91    ,
1136017,27/04/2015,  1    ,  72    ,  91    ,
1141565,27/04/2015,  1    ,  55    ,  82    ,
1143363,27/04/2015,  1    ,  68    ,  81    ,
1143366,27/04/2015,  1    ,  52    ,  55    ,
1145347,27/04/2015,  1    ,  55    ,  82    ,
1145678,27/04/2015,  1    ,  148    ,  190    ,
1147019,27/04/2015,  2    ,  52    ,  55    ,
1147105,27/04/2015,  1    ,  40    ,  50    ,
1147554,27/04/2015,  1    ,  60    ,  73    ,
1149642,27/04/2015,  1    ,  60    ,  73    ,
1149718,27/04/2015,  1    ,  72    ,  91    ,
1151743,27/04/2015,  1    ,  69    ,  105    ,
1151862,27/04/2015,  1    ,  193    ,  145    ,
1152051,27/04/2015,  1    ,  72    ,  96    ,
1152052,27/04/2015,  1    ,  68    ,  81    ,
1152210,27/04/2015,  2    ,  52    ,  77    ,
1153470,27/04/2015,  1    ,  40    ,  50    ,
1153473,27/04/2015,  1    ,  72    ,  91    ,
1153519,27/04/2015,  1    ,  68    ,  81    ,
1153521,27/04/2015,  1    ,  68    ,  81    ,
1156629,27/04/2015,  1    ,  40    ,  50    ,
1156658,27/04/2015,  1    ,  68    ,  81    ,
1160923,27/04/2015,  1    ,  55    ,  82    ,
1166831,27/04/2015,  1    ,  68    ,  81    ,
1170701,27/04/2015,  1    ,  88    ,  127    ,
1178717,27/04/2015,  2    ,  65    ,  77    ,
1202418,27/04/2015,  1    ,  64    ,  77    ,
1204285,27/04/2015,- 1    ,  52    ,  55    ,
1221484,27/04/2015,  1    ,  72    ,  91    ,
1225244,27/04/2015,  2    ,  58    ,  77    ,
1225745,27/04/2015,  1    ,  64    ,  77    ,
1232876,27/04/2015,  2    ,  55    ,  72    ,
1241545,27/04/2015,  1    ,  108    ,  114    ,
1267455,27/04/2015,  1    ,  46    ,  38    ,
1276755,27/04/2015,  1    ,  88    ,  127    ,
1276765,27/04/2015,  1    ,  72    ,  91    ,
1279611,27/04/2015,  1    ,  55    ,  82    ,
1279631,27/04/2015,  1    ,  40    ,  50    ,
1294432,27/04/2015,  1    ,  40    ,  50    ,
1294702,27/04/2015,  1    ,  193    ,  145    ,
1310523,27/04/2015,  1    ,  55    ,  82    ,
1319593,27/04/2015,  2    ,  67    ,  77    ,
1319605,27/04/2015,  1    ,  40    ,  50    ,
1319633,27/04/2015,  1    ,  200    ,  270    ,
1348033,27/04/2015,  2    ,  46    ,  55    ,
1370669,27/04/2015,  1    ,  68    ,  81    ,
1380788,27/04/2015,  1    ,  64    ,  77    ,
1398161,27/04/2015,- 1    ,  126    ,  163    ,
1403429,27/04/2015,  1    ,  69    ,  105    ,
1411640,27/04/2015,  1    ,  69    ,  105    ,
1431318,27/04/2015,  1    ,  52    ,  55    ,
1444116,27/04/2015,  1    ,  64    ,  77    ,
1456696,27/04/2015,  1    ,  56    ,  68    ,
1460642,27/04/2015,- 1    ,  88    ,  127    ,
1460649,27/04/2015,  1    ,  108    ,  114    ,
1463451,27/04/2015,  1    ,  52    ,  55    ,
1484789,27/04/2015,  1    ,  93    ,  91    ,
1125040,28/04/2015,  2    ,  62    ,  78    ,
1136017,28/04/2015,  3    ,  112    ,  138    ,
1138567,28/04/2015,  1    ,  52    ,  52    ,
1141563,28/04/2015,  1    ,  68    ,  77    ,
1141564,28/04/2015,  2    ,  94    ,  105    ,
1143361,28/04/2015,  3    ,  40    ,  38    ,
1143363,28/04/2015,  2    ,  62    ,  70    ,
1144860,28/04/2015,  1    ,  55    ,  78    ,
1145000,28/04/2015,  1    ,  108    ,  109    ,
1145299,28/04/2015,  1    ,  68    ,  77    ,
1145347,28/04/2015,  1    ,  72    ,  87    ,
1145678,28/04/2015,  1    ,  68    ,  77    ,
1147105,28/04/2015,  2    ,  45    ,  61    ,
1147554,28/04/2015,  2    ,  82    ,  100    ,
1149639,28/04/2015,  2    ,  62    ,  78    ,
1149642,28/04/2015,  1    ,  84    ,  96    ,
1149718,28/04/2015,  1    ,  126    ,  156    ,
1151738,28/04/2015,  1    ,  50    ,  74    ,
1151743,28/04/2015,  2    ,  88    ,  91    ,
1151862,28/04/2015,  1    ,  89    ,  100    ,
1152052,28/04/2015,  1    ,  52    ,  52    ,
1153456,28/04/2015,  1    ,  46    ,  37    ,
1153466,28/04/2015,  1    ,  124    ,  172    ,
1153470,28/04/2015,  1    ,  72    ,  87    ,
1153471,28/04/2015,  1    ,  72    ,  92    ,
1153518,28/04/2015,  1    ,  108    ,  109    ,
1153519,28/04/2015,  2    ,  67    ,  97    ,
1153520,28/04/2015,  1    ,  40    ,  48    ,
1153524,28/04/2015,  2    ,  52    ,  52    ,
1153527,28/04/2015,  1    ,  84    ,  96    ,
1171771,28/04/2015,  1    ,  40    ,  50    ,
1172591,28/04/2015,  1    ,  79    ,  81    ,
1202418,28/04/2015,  1    ,  89    ,  100    ,
1225745,28/04/2015,  1    ,  117    ,  115    ,
1234443,28/04/2015,  1    ,  89    ,  103    ,
1241545,28/04/2015,  1    ,  52    ,  52    ,
1245775,28/04/2015,  1    ,  108    ,  109    ,
1276755,28/04/2015,  1    ,  89    ,  100    ,
1294422,28/04/2015,  1    ,  50    ,  74    ,
1295811,28/04/2015,  1    ,  64    ,  73    ,
1305313,28/04/2015,  1    ,  56    ,  65    ,
1310523,28/04/2015,  2    ,  77    ,  98    ,
1340370,28/04/2015,  1    ,  52    ,  52    ,
1363619,28/04/2015,  1    ,  64    ,  59    ,
1398161,28/04/2015,  2    ,  108    ,  115    ,
1403429,28/04/2015,  1    ,  55    ,  78    ,
1411640,28/04/2015,  1    ,  108    ,  109    ,
1434555,28/04/2015,  1    ,  68    ,  77    ,
1455486,28/04/2015,  1    ,  40    ,  48    ,
1463451,28/04/2015,  1    ,  40    ,  48    ,
1463452,28/04/2015,  3    ,  60    ,  68    ,
1484789,28/04/2015,  1    ,  68    ,  77    ,
101462,29/04/2015,  2    ,  110    ,  140    ,
105426,29/04/2015,  1    ,  55    ,  90    ,
1136017,29/04/2015,  1    ,  68    ,  81    ,
1136019,29/04/2015,  1    ,  79    ,  106    ,
1141564,29/04/2015,  1    ,  40    ,  50    ,
1141565,29/04/2015,  1    ,  72    ,  91    ,
1141567,29/04/2015,  1    ,  79    ,  122    ,
1143361,29/04/2015,  3    ,  58    ,  72    ,
1143403,29/04/2015,  1    ,  64    ,  77    ,
1145004,29/04/2015,  1    ,  89    ,  105    ,
1145005,29/04/2015,  1    ,  68    ,  81    ,
1145347,29/04/2015,  2    ,  40    ,  50    ,
1145678,29/04/2015,  1    ,  46    ,  55    ,
1147091,29/04/2015,  1    ,  94    ,  105    ,
1149642,29/04/2015,  1    ,  93    ,  91    ,
1149710,29/04/2015,  2    ,  83    ,  98    ,
1151743,29/04/2015,  1    ,  50    ,  77    ,
1151862,29/04/2015,  1    ,  50    ,  77    ,
1153460,29/04/2015,  1    ,  52    ,  58    ,
1153461,29/04/2015,  1    ,  56    ,  82    ,
1153518,29/04/2015,  2    ,  62    ,  73    ,
1153519,29/04/2015,  1    ,  131    ,  150    ,
1153520,29/04/2015,  2    ,  81    ,  98    ,
1153524,29/04/2015,  1    ,  72    ,  91    ,
1156629,29/04/2015,  1    ,  72    ,  91    ,
1163232,29/04/2015,  3    ,  85    ,  104    ,
1172838,29/04/2015,  1    ,  60    ,  73    ,
1178717,29/04/2015,  1    ,  72    ,  91    ,
1179050,29/04/2015,  1    ,  82    ,  64    ,
1196189,29/04/2015,  1    ,  56    ,  86    ,
1225745,29/04/2015,  2    ,  52    ,  55    ,
1245775,29/04/2015,  1    ,  89    ,  105    ,
1269345,29/04/2015,  1    ,  60    ,  73    ,
1271440,29/04/2015,  1    ,  52    ,  55    ,
1275785,29/04/2015,  2    ,  80    ,  98    ,
1279631,29/04/2015,  1    ,  72    ,  91    ,
1294422,29/04/2015,  1    ,  68    ,  81    ,
1294511,29/04/2015,  1    ,  68    ,  81    ,
1316043,29/04/2015,  1    ,  40    ,  50    ,
1319605,29/04/2015,  1    ,  72    ,  91    ,
1348733,29/04/2015,  1    ,  55    ,  82    ,
1356241,29/04/2015,  1    ,  68    ,  81    ,
1372999,29/04/2015,  1    ,  88    ,  127    ,
1380788,29/04/2015,  1    ,  112    ,  190    ,
1403429,29/04/2015,  2    ,  53    ,  66    ,
1423426,29/04/2015,  1    ,  72    ,  91    ,
1429125,29/04/2015,  1    ,  89    ,  105    ,
1431318,29/04/2015,  1    ,  108    ,  114    ,
1444116,29/04/2015,  1    ,  68    ,  81    ,
1456867,29/04/2015,  1    ,  72    ,  96    ,
1457717,29/04/2015,  1    ,  84    ,  100    ,
1458711,29/04/2015,  2    ,  62    ,  85    ,
1463451,29/04/2015,  1    ,  72    ,  91    ,
1463471,29/04/2015,  1    ,  56    ,  68    ,
1479073,29/04/2015,  1    ,  68    ,  81    ,
105426,30/04/2015,  1    ,  72    ,  95    ,
111687,30/04/2015,  1    ,  108    ,  119    ,
1125726,30/04/2015,  1    ,  54    ,  81    ,
1135618,30/04/2015,  1    ,  56    ,  86    ,
1136017,30/04/2015,  4    ,  85    ,  118    ,
1136019,30/04/2015,  1    ,  89    ,  110    ,
1141563,30/04/2015,  1    ,  89    ,  110    ,
1141564,30/04/2015,  1    ,  72    ,  95    ,
1143366,30/04/2015,  1    ,  68    ,  85    ,
1143405,30/04/2015,  2    ,  54    ,  68    ,
1143767,30/04/2015,  1    ,  56    ,  71    ,
1144844,30/04/2015,  1    ,  88    ,  133    ,
1145000,30/04/2015,  1    ,  64    ,  80    ,
1145299,30/04/2015,  1    ,  69    ,  109    ,
1145346,30/04/2015,  1    ,  60    ,  76    ,
1145347,30/04/2015,  2    ,  40    ,  52    ,
1145540,30/04/2015,  1    ,  40    ,  52    ,
1145678,30/04/2015,  1    ,  91    ,  95    ,
1147019,30/04/2015,  1    ,  64    ,  80    ,
1147091,30/04/2015,  1    ,  40    ,  52    ,
1147105,30/04/2015,  1    ,  72    ,  95    ,
1147541,30/04/2015,  1    ,  79    ,  111    ,
1147554,30/04/2015,  1    ,  56    ,  71    ,
1149718,30/04/2015,  1    ,  40    ,  52    ,
1151743,30/04/2015,  3    ,  87    ,  110    ,
1151862,30/04/2015,  1    ,  52    ,  57    ,
1152210,30/04/2015,  2    ,  63    ,  98    ,
1153470,30/04/2015,  1    ,  52    ,  57    ,
1153473,30/04/2015,  1    ,  64    ,  80    ,
1153518,30/04/2015,  1    ,  72    ,  95    ,
1153519,30/04/2015,  6    ,  89    ,  117    ,
1153521,30/04/2015,  3    ,  71    ,  117    ,
1153526,30/04/2015,  1    ,  72    ,  95    ,
1156629,30/04/2015,  2    ,  56    ,  90    ,
1166091,30/04/2015,  2    ,  64    ,  90    ,
1170701,30/04/2015,  1    ,  89    ,  110    ,
1172838,30/04/2015,  1    ,  72    ,  95    ,
1173031,30/04/2015,  1    ,  108    ,  119    ,
1181034,30/04/2015,  1    ,  89    ,  110    ,
1184404,30/04/2015,  2    ,  40    ,  52    ,
1196175,30/04/2015,  1    ,  68    ,  85    ,
1196188,30/04/2015,  1    ,  72    ,  100    ,
1204285,30/04/2015,  1    ,  50    ,  81    ,
1221484,30/04/2015,  1    ,  56    ,  71    ,
1225745,30/04/2015,  2    ,  90    ,  107    ,
1226705,30/04/2015,  1    ,  52    ,  60    ,
1231645,30/04/2015,  1    ,  64    ,  80    ,
1245775,30/04/2015,  1    ,  93    ,  95    ,
1275785,30/04/2015,  1    ,  68    ,  85    ,
1294432,30/04/2015,  2    ,  65    ,  81    ,
1294511,30/04/2015,  1    ,  84    ,  105    ,
1294702,30/04/2015,  1    ,  52    ,  57    ,
1295811,30/04/2015,  2    ,  40    ,  52    ,
1310523,30/04/2015,  2    ,  80    ,  90    ,
1316043,30/04/2015,  1    ,  40    ,  52    ,
1319605,30/04/2015,  2    ,  88    ,  102    ,
1319633,30/04/2015,  2    ,  81    ,  102    ,
1333626,30/04/2015,  1    ,  72    ,  95    ,
1340370,30/04/2015,  1    ,  40    ,  52    ,
1343936,30/04/2015,  1    ,  68    ,  85    ,
1348033,30/04/2015,  1    ,  79    ,  111    ,
1356241,30/04/2015,  1    ,  40    ,  52    ,
1370669,30/04/2015,  2    ,  58    ,  85    ,
1372999,30/04/2015,  1    ,  55    ,  94    ,
1380788,30/04/2015,  3    ,  56    ,  89    ,
1403429,30/04/2015,  2    ,  77    ,  124    ,
1411640,30/04/2015,  1    ,  64    ,  80    ,
1423426,30/04/2015,  1    ,  68    ,  85    ,
1431318,30/04/2015,  1    ,  40    ,  52    ,
1444116,30/04/2015,  1    ,  40    ,  52    ,
1456867,30/04/2015,  2    ,  82    ,  107    ,
1458711,30/04/2015,  1    ,  52    ,  57    ,
1463048,30/04/2015,  2    ,  140    ,  136    ,
1463473,30/04/2015,  1    ,  52    ,  57    ,
1478073,30/04/2015,  1    ,  56    ,  86    ,
