Epoch,Loss
0,0.82847464
1,0.81591725
2,0.8039312
3,0.7925364
4,0.7818938
5,0.7721227
6,0.76330656
7,0.755214
8,0.74754673
9,0.74024636
10,0.73329514
11,0.72663784
12,0.7202208
13,0.7140344
14,0.7080557
15,0.7022733
16,0.69667226
17,0.6912292
18,0.6859351
19,0.6807716
20,0.67573375
21,0.6708155
22,0.6660078
23,0.6612889
24,0.6566573
25,0.6521406
26,0.6477439
27,0.64345026
28,0.63922715
29,0.63506323
30,0.63096863
31,0.6269422
32,0.62297463
33,0.6190599
34,0.6151877
35,0.61136097
36,0.60757285
37,0.60382706
38,0.6001453
39,0.59650075
40,0.5929026
41,0.58934665
42,0.5858168
43,0.5823174
44,0.5788425
45,0.57539546
46,0.5719965
47,0.568636
48,0.5653019
49,0.5620012
50,0.5587207
51,0.55548877
52,0.552281
53,0.54908884
54,0.54591906
55,0.54277855
56,0.53967386
57,0.53659314
58,0.5335279
59,0.5304767
60,0.5274401
61,0.5244176
62,0.5214088
63,0.51841396
64,0.5154366
65,0.51247734
66,0.50953734
67,0.5066108
68,0.5037012
69,0.5008241
70,0.49796075
71,0.49510998
72,0.49227187
73,0.48944703
74,0.48663732
75,0.4838451
76,0.4810704
77,0.47831184
78,0.4755649
79,0.47283012
80,0.47010815
81,0.4673989
82,0.4647085
83,0.46203044
84,0.45936534
85,0.4567133
86,0.45407408
87,0.45144808
88,0.44883466
89,0.44623318
90,0.44364637
91,0.44107372
92,0.43851733
93,0.43597496
94,0.43345088
95,0.43093976
96,0.42843965
97,0.42595136
98,0.4234763
99,0.4210176
100,0.4185717
101,0.41614044
102,0.41372034
103,0.41131252
104,0.40891662
105,0.40653425
106,0.40416443
107,0.40180987
108,0.39946827
109,0.3971391
110,0.3948217
111,0.3925171
112,0.390226
113,0.38794988
114,0.3856863
115,0.383435
116,0.3811964
117,0.3789713
118,0.37675786
119,0.3745582
120,0.37237084
121,0.37019587
122,0.36803302
123,0.36588207
124,0.36374298
125,0.36161596
126,0.35950118
127,0.3573993
128,0.3553105
129,0.35323504
130,0.35117224
131,0.3491258
132,0.34709203
133,0.34507293
134,0.34306762
135,0.3410757
136,0.33909577
137,0.33712792
138,0.33517203
139,0.33322826
140,0.33129755
141,0.3293801
142,0.3274759
143,0.32558414
144,0.32370532
145,0.32184145
146,0.31999293
147,0.318157
148,0.31633395
149,0.31452313
150,0.31272498
151,0.31093866
152,0.30916443
153,0.30740267
154,0.3056538
155,0.30391753
156,0.3021949
157,0.3004887
158,0.29879433
159,0.29711297
160,0.29544616
161,0.29379103
162,0.29214773
163,0.2905166
164,0.28889716
165,0.28728944
166,0.28569347
167,0.2841095
168,0.2825377
169,0.28097796
170,0.27942985
171,0.2778936
172,0.27637032
173,0.2748603
174,0.27336225
175,0.2718758
176,0.27040184
177,0.26894042
178,0.2674903
179,0.26605144
180,0.2646236
181,0.2632074
182,0.26180428
183,0.2604126
184,0.25903225
185,0.25766295
186,0.2563047
187,0.25495842
188,0.25362596
189,0.25230464
190,0.2509948
191,0.24969614
192,0.24840833
193,0.24713625
